Termo,TermoGeral,Descricao
"Radiação não ionizante","Radiação","Inclui todas as radiações do espectro eletromagnético, que não têm energia suficiente para ionizar a matéria. Caracterizam-se por apresentarem energia, por fóton, inferior a cerca de 12 eV (doze elétron-volt), comprimentos de onda maiores do que 100 (cem) nanômetros e freqüências inferiores a 3x1015 Hz. (Fonte: BRASIL. Agência Nacional de Telecomunicação (ANATEL). Resolução nº 303, de 2 de julho de 2002. Aprova o Regulamento sobre Limitação da Exposição a Campos Elétricos, Magnéticos e Eletromagnéticos na Faixa de Radiofreqüências entre 9 kHz e 300 GHz. Disponível em: http://legislacao.anatel.gov.br/resolucoes/17-2002/128-resolucao-303. Acesso em: 19 mar 2013) "
"Ranicultura","Aquicultura","atividade de criação de rãs. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Rastreabilidade animal","",""
"Rebanho","","conjunto de animais. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Reciclagem","","Reciclagem é o processo que visa transformar materiais usados em novos produtos com vista a sua reutilização. Por este processo, materiais que seriam destinados ao lixo permanente podem ser reaproveitados. (Fonte: SIGNIFICADOS.com.br O que é reciclagem. Disponível em: < http://www.significados.com.br/reciclagem/ > Acesso em: 13 nov 2014). "
"Recursos de solo","Recursos naturais",""
"Recursos hídricos","Recursos naturais","Quantidade das águas superficiais e/ou subterrâneas, presentes em uma região ou bacia, disponíveis para qualquer tipo de uso. (Fonte:  INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Recursos minerais","Recursos naturais","Concentrações minerais na crosta terrestre cujas características fazem com que sua extração seja ou possa chegar a ser técnica e economicamente factível (Fonte: IBICT. Prossiga: Portal de Recursos Minerais: glossário. Disponível em: http://recursosminerais.ibict.br/glossario/glossario_r.html. Acesso em: 19 mar 2013). "
"Recursos naturais","","Denominação aplicada a todas as matérias - primas, tanto aquelas renováveis como as não renováveis, obtidas diretamente da natureza, e aproveitáveis pelo homem. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Rede coletora de esgoto","","Conjunto de tubulações ligadas às unidades ou prédios, que conduz o esgoto sanitário até o ponto de tratamento ou de lançamento final. (Fonte: IBGE. Atlas de saneamento. Glossário. Rio de Janeiro : IBGE, 2004. P. 145. Disponível em: <http://www.ibge.gov.br/home/estatistica/populacao/atlas_saneamento/> Acesso em: 13 mar 2013). "
"Rede de água","","Conjunto de tubulações interligadas e instaladas ao longo das vias públicas ou nos passeios, junto às unidades ou prédios, e que conduz a água aos pontos de consumo, como moradias, escolas, hospitais etc. (Fonte: IBGE. Atlas de saneamento. Glossário. Rio de Janeiro: IBGE, 2004. P. 145. Disponível em: <http://www.ibge.gov.br/home/estatistica/populacao/atlas_saneamento/> Acesso em: 13 mar 2013). "
"Reflorestamento","","Atividade dedicada a recompor a cobertura florestal de uma determinada área. O reflorestamento pode ser realizado com objetivos de recuperação do ecossistema original. através da plantação de espécies nativas ou exóticas. Obedecendo-se as características ecológicas da área (reflorestamento ecológico), ou com objetivos econômicos, através da introdução de espécies de rápido crescimento e qualidade adequada. para abate e comercialização posterior (reflorestamento econômico). (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Reforma agrária","","Revisão da estrutura agrária de um país, através de um conjunto de leis, com vista a uma distribuição mais equitativa da terra disponível e da renda agrícola, mediante a modificações no regime de sua posse e uso, a fim de atender aos princípios de justiça social e ao aumento de produtividade. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em:< http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Regime de economia familiar","","atividade em que o trabalho dos membros da família é indispensável à própria subsistência e é exercido em condições de mútua dependência e colaboração, sem a utilização de empregados. (Fonte: BRASIL. Lei 8.212, de 24 de julho de 1991. Disponível em:< http://www.planalto.gov.br/ccivil_03/leis/l8212cons.htm> Acesso em: 15 abr 2014). "
"Regime pluviométrico","","Forma de ocorrência de chuvas em uma dada região, expresa em valores numéricos determinados por pluviômetros e/ou pluviógrafos. (Fonte:  BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Relatório de impacto ambiental","","É o documento que apresenta os resultados dos estudos técnicos e científicos de avaliação de impacto ambiental. (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Renda agrícola","",""
"Reprodução animal","",""
"Reprodutor","",""
"Reserva indígena","","Área caracterizada por possuir sociedades indígenas. Geralmente, as reservas indígenas são isoladas e remotas e podem manter sua inacessibilidade por um longo período de tempo. Os objetivos de manejo são proporcionar o modo de vida de sociedades que vivem em harmonia e em dependência do meio ambiente, evitando um distúrbio pela moderna tecnologia e, em segundo plano, realizar pesquisas sobre a evolução do homem e sua interação com a terra. (Fonte: GLOSSÁRIO Ambiental da CETESB. São Paulo : Cetesb. Disponível em:< http://www.cetesb.sp.gov.br/institucional/institucional/70-glossario> Acesso em: 12 nov 2014). "
"Reserva legal","","Area localizada no interior de uma propriedade ou posse rural, delimitada nos termos do art. 12, com a função de assegurar o uso econômico de modo sustentável dos recursos naturais do imóvel rural, auxiliar a conservação e a reabilitação dos processos ecológicos e promover a conservação da biodiversidade, bem como o abrigo e a proteção de fauna silvestre e da flora nativa. (Fonte: BRASIL. Lei nº 12.651, de 25 e maio de 2012. Disponível em:< http://www.planalto.gov.br/ccivil_03/_Ato2011-2014/2012/Lei/L12651.htm#art83> Acesso em: 27 jun 2013). "
"Reservatório","Obra hídrica","Corpo de água, natural ou artificial, utilizado para o armazenamento, regulação e controlo dos recursos hídricos. (Fonte: SERGIPE. Superintendência de Recursos Hídricos. Glossário de recursos hídricos. Disponível: <http://www.semarh.se.gov.br/srh/modules/tinyd0/index.php?id=8> Acesso em: 21 jun 2013). "
"Resíduo orgânico","Resíduo sólido","É todo resíduo que tem origem animal ou vegetal, ou seja, que recentemente fez parte de um ser vivo. (Fonte: BRASIL. Ministério Público Federal.O que é lixo orgânico e inorgânico. Disponível em: <http://gesto.prdf.mpf.mp.br/legislacao-e-outros-documentos/o_que_e_lixo_organico_e_inorganico.pdf> Acesso em: 14 ago 2013). "
"Resíduo radioativo","","É todo resíduo com radioatividade detectável que seja gerado nos procedimentos que envolvem o material radioativo licenciado. (Fonte: FONSECA, Janaína Conrado Lyra da. Manual para gerenciamento de resíduos perigosos. Disponível em:<http://www.unesp.br/pgr/manuais/residuos.pdf> Acesso em: 14 ago 2013). "
"Resíduo sólido","","Resíduos nos estados sólido e semi-sólido, que resultam de atividades da comunidade, de origem industrial, doméstica, hospitalar, comercial, agrícola, de serviços e de varrição de ruas. Inclui ainda determinados líquidos cujas particularidades tornam inviável o seu lançamento na rede pública de esgotos ou em corpos de água, ou que exijam para isso soluções técnica e economicamente inviáveis em face à melhor tecnologia disponível. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Riacho","Curso de água","Rio pequeno. (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Rio","Curso de água","Grande curso de água que serve de canal natural de drenagem a uma bacia hidrográfica. (Fonte: UNESCO. Glossário Internacional de Hidrologia. Disponível em:< http://webworld.unesco.org/water/ihp/db/glossary/glu/HINDPT.HTM> Acesso em: 21 jun 2013). "
"Risco ambiental","",""
"Risco fitossanitário","",""
"Rizicultura","Cultivo","atividades agrícolas de cultivo de arroz. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Rocha","Mineral","Agregado natural de substância minerais, resultantes de um processo geológico determinado e que constitui parte essencial da litosfera. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Saneamento","","O controle de todos os fatores do meio físico do homem que exercem efeito deletério sobre seu bem estar físico, mental ou social (Organização Mundial da Saúde, apud ACIESP, 1980). (Fonte: DICIONÁRIO ambiental. Disponível em: < http://www.ecolnews.com.br/dicionarioambiental/conceitos-a.htm> Acesso em: 26 ago 2014). "
"Saneamento ambiental","Saneamento","Ações para a sociedade, com o objetivo de fazer com que todos tenham acesso ao abastecimento de água potável, coleta e disposição sanitária de resíduos sólidos e líquidos, disciplina sanitária de uso do solo, drenagem urbana, controle de doenças transmissíveis, para proteger e melhorar as condições de vida da população. (Fonte: O que é saneamento ambiental. Significados.com. Disponível em: <http://www.significados.com.br/saneamento-ambiental/> Acesso em: 09 abr 2013). "
"Saneamento básico","Saneamento","Conjunto de serviços, infraestruturas e instalações operacionais de: a) abastecimento de água potável: constituído pelas atividades, infraestruturas e instalações necessárias ao abastecimento público de água potável, desde a captação até as ligações prediais e respectivos instrumentos de medição; b) esgotamento sanitário: constituído pelas atividades, infraestruturas e instalações operacionais de coleta, transporte, tratamento e disposição final adequados dos esgotos sanitários, desde as ligações prediais até o seu lançamento final no meio ambiente; c) limpeza urbana e manejo de resíduos sólidos: conjunto de atividades, infraestruturas e instalações operacionais de coleta, transporte, transbordo, tratamento e destino final do lixo doméstico e do lixo originário da varrição e limpeza de logradouros e vias públicas; d) drenagem e manejo das águas pluviais urbanas: conjunto de atividades, infraestruturas e instalações operacionais de drenagem urbana de águas pluviais, de transporte, detenção ou retenção para o amortecimento de vazões de cheias, tratamento e disposição final das águas pluviais drenadas nas áreas urbanas. (Fonte: BRASIL. Lei nº 11.445, de 5 de janeiro de 2007. Disponível em: <http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/lei/l11445.htm> Acesso em: 14 ago 2013). "
"Saneamento rural","Saneamento","Conjunto de ações adotadas em relação ao meio ambiente com a finalidade de criar condições favoráveis à manutenção do meio e da saúde das populações que vivem nas áreas rurais. (Fonte: GLOSSÁRIO de termos usados em atividades agropecuárias, florestais e Ciências Ambientais. Comp. José Geraldo Pacheco Ormond. 3. ed. rev. e atual. Rio de Janeiro : BNDES, 2006. Disponível em: < http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 12 nov 2014). "
"Saneamento urbano","Saneamento","Realização de disposições municipais direcionadas à renovação de bairros, melhoria do traçado das ruas, colocação de esgotos e água encanada, drenagem de pântanos, limpeza de rios e valas, etc. (Fonte: VOCABULÁRIO BÁSICO DE MEIO AMBIENTE. Org. Iara Verocai. Rio de Janeiro : Secretaria de Estado de Meio Ambiente, 1997. Disponível em: < http://biomabrasil.org.br/site/wp-content/uploads/2013/02/vocabulario_basico_de_meio_ambiente.pdf> Acesso em: 12 nov 2014). "
"Saúde indígena","","A Saúde Indígena possui uma abordagem diferenciada e global, contemplando os aspectos de assistência à saúde, saneamento básico, nutrição, habilitação, meio ambiente, demarcação de terras, educação sanitária e integração institucional. (Fonte: BRASIL. Ministério da Saúde. Glossário do Ministério da Saúde. Disponível em:<http://bvsms.saude.gov.br/bvs/publicacoes/glossario_ms.pdf > Acesso em: 20 mar 2013). "
"Seca","","Fenômeno climático caracterizado pela ausência prolongada ou deficiência acentuada de chuvas. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Segurança alimentar","Segurança","garantia de que as famílias tenham acesso físico e econômico, regular e permanente, a conjunto básico de alimentos, em quantidade e qualidade significantes para atender os requerimentos nutricionais. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Seguro agrícola","Seguro",""
"Sêmen animal","",""
"Serviço de água e esgotos","Serviço de saneamento básico",""
"Silvicultura","Cultivo",""
"Solo","","Parcela dinâmica e tridimensional da superfície terrestre, que suporta e mantém as plantas. Seu limite superior é a superfície terrestre, e o inferior é definido pelos limites da ação dos agentes biológicos e climáticos, enquanto seus extremos laterais limitam-se com outros solos, onde se verifica a mudança de uma ou mais das características diferenciais. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Suplemento alimentar (Pecuária)","Alimentação animal",""
"Sustentabilidade","","Conceito associado ao Desenvolvimento Sustentável, envolve as idéias de pacto intergeracional e perspectiva de longo prazo. Sustentabilidade é a capacidade de um processo ou forma de apropriação dos recursos continuar a existir por um longo período. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Sustentabilidade ambiental","","Envolve a utilização racional dos recursos naturais, sob a perspectiva do longo prazo. A utilização sustentável dos recursos naturais é aquela em que os recursos naturais renováveis são usados abaixo da sua capaciade natural de reposição, e os não renováveis de forma parcimoniosa e eficiente, aumentando sua vida útil. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Terraço","","Superfície horizontal ou levemente inclinada, constituída por depósito sedimentar, ou superfície topográfica modelada pela erosão fluvial, marinha ou lacustre, e limitada por dois declives no mesmo sentido. Pode ser classificado como marinho, lacustre, fluvial etc. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Terras indígenas","","Reputam-se terras indígenas:          I - as terras ocupadas ou habitadas pelos silvícolas, a que se referem os artigos 4º, IV, e 198, da Constituição;          II - as áreas reservadas de que trata o Capítulo III deste Título;          III - as terras de domínio das comunidades indígenas ou de silvícolas. (Fonte: BRASIL. BRASIL. Lei nº 6.001, de 19 de dezembro de 1973. Disponível em:< http://www.planalto.gov.br/ccivil_03/leis/l6001.htm> Acesso em: 14 ago 2013). "
"Trabalhador rural","Trabalhador","pessoa física que, em propriedade rural, presta serviços de natureza não eventual a empregador rural, sob a dependência deste e mediante salário. (Fonte: BRASIL. Lei n. 11.977, de 7 de julho de 2009. Disponível em:<http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l11977.htm> Acesso em: 13 ago 2014). "
"Transposição de águas","","Transposição realizada entre bacias hidrográficas para fins de superação de barreiras de natureza econômica, social e ambiental. (Fonte: KHRAN, Faida Sandreanny, MACIEL, Simone, DOURADO, Thania Maria. Transposição de águas e bacias: aspectos teóricos e conceituais. Disponível em: < http://download.uft.edu.br/?d=8ca1e1d9-0b15-486c-bd4d-87716412ada1:transposicao_de_aguas.pdf > Acesso em: 12 nov 2014). "
"Tratamento de água","","Conjunto de ações destinado a alterar as características físicas e/ou químicas e/ou biológicas da água, de modo a satisfazer o padrão de potabilidade adotado pela autoridade competente. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Tratamento de resíduo","","Processos e procedimentos que alteram as características físicas, químicas e biológicas dos resíduos e conduzem à minimização dos riscos à saúde pública e à qualidade do meio ambiente' (Resolução nº 5 de 5.07.93 do CONAMA). (Fonte: VOCABULÁRIO BÁSICO DE MEIO AMBIENTE. Org. Iara Verocai. Rio de Janeiro : Secretaria de Estado de Meio Ambiente, 1997. Disponível em: < http://biomabrasil.org.br/site/wp-content/uploads/2013/02/vocabulario_basico_de_meio_ambiente.pdf> Acesso em: 12 nov 2014). "
"Turismo sustentável","Turismo","Garante e assegura os componentes dos diferenciais turísticos, o processo racional de exploração dos recursos ambientais naturais, históríco-culturais e temático artificiais. Nos primeiros, exige-se, no processo de ocupação espacial, a preservação máxima possível de suas características originais. Nos segundos, requer-se, após o tombamento, o restauro e a conservação de sua integridade patrimonial e cultural.  Nos terceiros, flexibiliza-se o tratamento dos temas e o aproveitamento do espaço com estrita observância da legislação ambiental. (Fonte: BRASIL. Ministério do Turismo. Dados e fatos. Disponível em:<http://www.dadosefatos.turismo.gov.br/dadosefatos/espaco_academico/glossario/> Acesso em: 05 set 2014). "
"Usina solar","","Usina que produz energia elétrica a partir dos raios solares. (Fonte: NEOENERGIA. Glossário. Disponível em: <http://www.neoenergia.com/Pages/O%20Setor%20El%C3%A9trico/GlossarioDoSetor.aspx> Acesso em: 13 mar 2013). "
"Usina termelétrica","","Instalações e equipamentos destinados à transformação da energia calorífica de combustíveis em energia elétrica. (Fonte: BRASIL. Decreto nº 8.437, de 22 de abril de 2015. Disponível em:< http://www.planalto.gov.br/ccivil_03/_Ato2015-2018/2015/Decreto/D8437.htm> Acesso em: 27 abr 2015). "
"Vacina","","Substância de origem microbiana (micróbios mortos ou de virulência abrandada) que se ministra a um indivíduo, com fim preventivo, curativo ou paliativo. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Vacinação","","Administração de vacinas para estimulação da resposta imune do hospedeiro. Isto inclui qualquer preparação que objetive a profilaxia imunológica ativa.  (Fonte: DESCRITORES em Ciências da Saúde. Disponível em: <http://decs.bvs.br/cgi-bin/wxis1660.exe/decsserver/ > Acesso em: 12 nov 2014). "
"Vacinação assistida","Vacinação",""
"Vacinação estratégica","Vacinação",""
"Vantajosidade ambiental","","Qualidade de um objeto ou serviço de possuir um desempenho econômico/ambiental mais eficiente, com custo de operação e manutenção menor, menos agressivo ao meio em comparação a outro produto convencional. (Fonte: COSTA, Carlos Eduardo Lustosa da. As licitações sustentáveis na ótica do controle externo. Disponível em:< http://portal2.tcu.gov.br/portal/pls/portal/docs/2435919.PDF> Acesso em: 18 jun 2013). "
"Vegetação","","Conjunto de plantas que cobrem uma região e que se congregam em diversas fisionomias e composições em função do clima e do solo, constituindo-se em diferentes formações primárias e secundarias. (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários. Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Vigilância Fitossanitária","",""
"Vigilância Zoossanitária","",""
"Warrant agropecuário","","Com base na emissão desse título o agricultor pode ir a um banco e levantar um empréstimo e dar o certificado como uma garantia. O Warrant significa onerar, gravar, garantir naquele título que sobre ele existe uma dívida. Todos os participantes do mercado financeiro ao comprarem o papel saberão que nele existe uma dívida original do agricultor. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Zona costeira","","Faixa terrestre identificada prelimirnamente por uma distância de 20 km sobre uma perpendicular, contados a partir da Linha da Costa, e por uma faixa marítima de 6 milhas ( 11,1 km) com mesma origem, agregando as informações já existentes ( código geográfico e nome do município) com as produzidas na identificação e/ou classificação do município dentro da zona, tais como: ilha, litoral, baía, estuário, lagoa e interior. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA.  Geografia. Disponível em: <http://www.ibge.gov.br/home/geociencias/geografia/costeira.shtm> Acesso em: 14 ago 2013). "
"Zoneamento ambiental","","Integração sistemática e interdisciplinar da análise ambiental ao planejamento dos usos do solo, com o objetivo de definir a melhor gestão dos recursos ambientais identificados. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Zoneamento ecológico econômico","","Instrumento de racionalização da ocupação dos espaços e de redirecionamento das atividades econômicas. O ZEE serve como subsídio a estratégias e ações para a elaboração e execução de planos regionais de busca do desenvolvimento sustentável. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Zootecnia","","Ciência que estuda os métodos de aperfeiçoamento dos processos de criação de animais, como manejo, alimentação e adaptação ao meio ambiente. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
